,number,name,seniority,country,has_website,estimated_contribution_minimize,auto_consistency,teleop_consistency,auto_park,tele_ascent,auto_sample_net,auto_sample_low,auto_sample_high,auto_specimen_low,auto_specimen_high,teleop_sample_net,teleop_sample_low,teleop_sample_high,teleop_specimen_low,teleop_specimen_high,foul_points,auto_points,teleop_points,total_points,rank,estimated_contribution_opr,wins,losses,ties,award,award_rank
0,10015,Hyper Droid,10,Canada,True,7.0,0.74197317399698,0.7435443226301188,1.9,4.3,0.06666666666666667,0.03333333333333333,1.9333333333333333,0.0,1.1333333333333333,0.43333333333333335,0.2,6.6,0.03333333333333333,4.966666666666667,1.8333333333333333,29.966666666666665,113.13333333333334,143.1,1.0,140.61660962943728,31,0,0,Inspire Award Finalist,3
0,20278,Neurobots #1,4,Canada,False,90.675,0.6818019484660536,0.6168069859523662,2.25,12.0,0.0,0.0,2.625,0.0,1.625,0.375,0.125,8.375,0.0,5.0,6.875,40.25,131.75,172.0,5.0,115.07226126098664,4,1,0,Winning Alliance Award Winners,5
0,27798,Lakers1,1,Canada,False,3.0,0.4920629960319882,0.5948553070541066,0.0,7.2,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.0,0.2,1.4,7.0,4.6,27.6,32.2,17.0,2.3400778130793602,1,4,0,NONE,0
0,21760,Tech Master,3,Canada,True,17.8875,0.5892080818711254,0.618208875417569,0.6,1.2,0.2,0.0,0.0,0.0,0.2,1.6,1.6,0.2,0.0,1.6,7.0,3.6,33.2,36.8,34.0,8.34099729721426,1,4,0,Rockwell Collins Innovate Award Finalist,17
0,27402,EVOLUTION - 2,1,Canada,False,22.7125,0.5661341325452143,0.6029563602293382,1.8,1.8,0.0,0.0,0.0,0.0,1.0,1.4,0.2,2.4,0.0,2.6,3.0,11.8,59.6,71.4,22.0,23.18193107806509,2,3,0,NONE,0
0,28195,G.0.R.T,1,Canada,False,8.4,0.5998417098235128,0.6919430589711322,0.25,4.25,0.0,0.0,0.16666666666666666,0.0,0.25,0.75,0.9166666666666666,2.0,0.25,0.6666666666666666,4.583333333333333,4.583333333333333,37.583333333333336,42.166666666666664,13.0,18.208737683786705,4,8,0,Motivate Award Winner,22
0,28781,SMS Robocats 2,1,Canada,False,2.1,0.4522774424948338,0.6008514980270889,0.0,1.8,0.4,0.0,0.0,0.0,0.0,4.8,0.8,0.0,0.0,0.0,4.0,0.8,15.2,16.0,2.0,7.475000000000005,2,3,0,NONE,0
0,24522,MécaDucks,2,Canada,False,6.25e-05,0.5784659808355894,0.6686886734078314,1.125,15.0,0.0,0.0,0.375,0.0,1.75,0.5,0.25,5.0,0.0,3.75,6.875,22.375,100.125,99.0,3.0,56.45270377744046,5,0,0,Judges' Award Winner,56
0,21396,LP Robotics,3,Canada,False,8.549999999999999,0.6761523424682094,0.7111309403779599,2.1,2.4,0.1,0.0,0.3,0.0,0.1,2.4,0.2,3.2,0.1,0.4,3.5,6.3,42.7,49.0,18.5,20.815700314454702,3,7,0,Design Award Winner,19
0,28071,Dragon Fire,1,Canada,False,13.649999999999999,0.5616080520812454,0.5752856576099649,0.0,1.8,0.0,0.0,0.4,0.0,0.2,1.8,0.6,2.0,0.0,1.0,5.0,5.8,40.4,46.2,21.0,13.210083319567495,2,3,0,NONE,0
0,14316,MDR Entradox,8,Canada,False,7.6,0.42264973081037427,0.47958350013346684,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.3333333333333333,0.0,0.0,1.3333333333333333,0.0,2.0,28.0,30.0,10.0,11.843955107459514,2,1,0,NONE,0
0,24124,Nighthawks Robotics,2,Canada,False,67.72500000000001,0.7489722348297425,0.705518868586713,1.8,5.4,0.2,0.0,0.8,0.05,1.75,1.7,0.25,3.25,0.05,4.9,0.25,26.4,90.2,116.6,1.0,101.83312574404316,26,0,0,Inspire Award Finalist,3
0,24484,Victoria Park Panthers,2,Canada,False,5.699999999999999,0.63265923706848,0.690288360987026,0.0,1.29,0.0,0.0,0.4,0.0,0.1,0.2,1.1,3.8,0.0,0.9,1.5,5.1,53.2,58.3,22.0,14.809937559072674,3,7,0,Rockwell Collins Innovate Award Winner,16
0,19530,The Thunderbirds,4,Canada,True,70.0,0.7341125789179654,0.6980375391042011,0.0,18.3,0.23333333333333334,0.03333333333333333,1.3333333333333333,0.0,1.3333333333333333,0.4,0.16666666666666666,5.2,0.0,4.933333333333334,5.0,25.3,116.3,141.6,11.666666666666666,101.77668333216808,10,8,0,Inspire Award Winner,1
0,19500,RoBEARtics,4,Canada,False,30.0,0.7377455339578645,0.7433219441487408,0.1111111111111111,2.111111111111111,0.0,0.0,1.0740740740740742,0.0,0.9259259259259259,0.5925925925925926,0.37037037037037035,10.851851851851851,0.0,3.5925925925925926,4.444444444444445,19.40740740740741,130.85185185185185,150.25925925925927,4.333333333333333,114.54591304410695,14,3,0,Inspire Award Winner,1
0,16205,Lightning Bots,7,Canada,False,55.0,0.6705328940042885,0.7000342332408027,2.2,2.3066666666666666,0.06666666666666667,0.0,2.0,0.0,1.9333333333333333,0.4,0.0,8.533333333333333,0.0,6.266666666666667,5.666666666666667,38.86666666666667,142.33333333333334,181.2,3.0,113.72804021345613,9,2,0,NONE,0
0,27344,~untitled,1,Canada,False,2.05,0.7202956382079003,0.7019536112756106,0.6818181818181818,1.2272727272727273,0.0,0.045454545454545456,0.6818181818181818,0.0,1.4090909090909092,0.5,0.22727272727272727,4.2727272727272725,0.045454545454545456,3.6363636363636362,10.909090909090908,21.363636363636363,76.95454545454545,98.31818181818181,14.333333333333334,63.324585604692956,7,10,1,Finalist Alliance Award Winners,7
0,18017,Pionniers,6,Canada,True,71.175,0.6377496770978834,0.6678715360295847,0.2727272727272727,15.0,0.0,0.0,1.3636363636363635,0.0,1.2727272727272727,0.2727272727272727,0.09090909090909091,7.363636363636363,0.0,5.454545454545454,6.818181818181818,24.454545454545453,131.27272727272728,155.72727272727272,13.0,80.70251875192073,3,2,0,Finalist Alliance Award Winners,8
0,14717,Mandela United Squadron - Second Unit,7,Canada,False,8.4,0.6929885139129386,0.7040711253324754,0.2727272727272727,2.727272727272727,0.3181818181818182,0.0,0.045454545454545456,0.045454545454545456,0.18181818181818182,3.5,0.5,0.22727272727272727,0.09090909090909091,1.5909090909090908,1.8181818181818181,4.590909090909091,33.27272727272727,37.86363636363637,17.0,19.791041644208608,11,20,0,NONE,0
0,26032,FFCA Cobras1.0,1,Canada,False,8.2,0.6991189801869584,0.7333558251622729,0.375,7.25,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.0,0.4166666666666667,1.9583333333333333,0.5833333333333334,1.5833333333333333,0.0,1.75,3.125,7.208333333333333,48.291666666666664,55.5,17.0,63.51796828644662,13,18,0,NONE,0
0,26256,SWERVO,1,Canada,False,19.0,0.6678592763338703,0.6916882290446762,1.6875,1.875,0.125,0.0,0.3125,0.0,0.375,1.0,0.3125,3.4375,0.0,0.9375,3.4375,9.125,48.9375,58.0625,16.0,18.7388556303424,5,5,0,Judges' Award Winner,56
0,21395,AlBaqir Academy,3,Canada,False,11.0,0.7046943241709183,0.6980132001718754,0.48,7.68,0.2,0.0,0.68,0.0,0.32,1.4,0.24,3.96,0.0,2.16,3.2,11.08,67.0,78.08,9.0,48.50256965885236,20,11,0,Inspire Award Winner,1
